meshtastic_variant,mcu,radio,tier,tier_label,category,blocker,mcu_supported_by_meshcore,radio_supported_by_meshcore,notes
gat562_mesh_trial_tracker,nrf52840,sx1262,1,Tier 1 - variant-only port,tracker,none,True,True,GAT562 family already in MeshCore; add this sub-variant + GPS.
icarus,nrf52840,sx1262,1,Tier 1 - variant-only port,diy,none,True,True,Pin-map port.
MakePython_nRF52840_oled,nrf52840,sx1262,1,Tier 1 - variant-only port,node,none,True,True,OLED reuses existing SSD1306Display driver.
meshlink,nrf52840,sx1262,1,Tier 1 - variant-only port,diy,none,True,True,Pin-map port.
monteops_hw1,nrf52840,sx1262,1,Tier 1 - variant-only port,diy,none,True,True,Pin-map port.
MS24SF1,nrf52840,sx1262,1,Tier 1 - variant-only port,module,none,True,True,"Minew nRF52840 module; copy an nRF52 variant, set pins."
rak4631_nomadstar_meteor_pro,nrf52840,sx1262,1,Tier 1 - variant-only port,node,none,True,True,RAK4631 derivative; sub-variant of existing rak4631.
TWC_mesh_v4,nrf52840,sx1262,1,Tier 1 - variant-only port,diy,none,True,True,Community DIY board; straight pin-map port.
challenger_2040_lora,rp2040,sx1276,1,Tier 1 - variant-only port,node,no-ble,True,True,RP2040; USB/serial companion. rak11310 proves the path.
ec_catsniffer,rp2040,sx1262,1,Tier 1 - variant-only port,tool,no-ble,True,True,CatSniffer RP2040; USB/serial sniffer/relay.
feather_rp2040_rfm95,rp2040,sx1276,1,Tier 1 - variant-only port,node,no-ble,True,True,Feather + RFM95; USB/serial companion.
rpipico,rp2040,sx1276,1,Tier 1 - variant-only port,diy,no-ble,True,True,Raw Pico + external RFM95; USB/serial.
rpipico-slowclock,rp2040,sx1276,1,Tier 1 - variant-only port,diy,no-ble,True,True,Sub-variant of rpipico (low clock).
senselora_rp2040,rp2040,sx1276,1,Tier 1 - variant-only port,sensor,no-ble,True,True,USB/serial; sensor node.
CDEBYTE_E77-MBL,stm32wl,stm32wlx,1,Tier 1 - variant-only port,module,none,True,True,STM32WLE5; sub-variant of existing wio-e5/rak3172 path.
russell,stm32wl,stm32wlx,1,Tier 1 - variant-only port,diy,none,True,True,Custom STM32WL board; pin-map port.
betafpv_900_tx_nano,esp32,sx1276,2,Tier 2 - variant + peripheral integration,tx-module,form-factor,True,True,"FPV TX module; niche, headless repeater only."
chatter2,esp32,sx1276,2,Tier 2 - variant + peripheral integration,handheld,display,True,True,Display + keyboard handheld; needs UI layer.
m5stack_core,esp32,sx1276,2,Tier 2 - variant + peripheral integration,node,display,True,True,M5 module LoRa; TFT UI.
m5stack_coreink,esp32,sx1262,2,Tier 2 - variant + peripheral integration,node,display,True,True,E-ink UI.
radiomaster_900_bandit,esp32,sx1276,2,Tier 2 - variant + peripheral integration,tx-module,form-factor,True,True,"FPV TX module; niche, headless repeater only."
radiomaster_900_bandit_micro,esp32,sx1276,2,Tier 2 - variant + peripheral integration,tx-module,form-factor,True,True,FPV TX module; niche.
radiomaster_900_bandit_nano,esp32,sx1276,2,Tier 2 - variant + peripheral integration,tx-module,form-factor,True,True,FPV TX module; niche.
trackerd,esp32,sx1276,2,Tier 2 - variant + peripheral integration,tracker,display,True,True,Has display + GPS; UI optional for headless build.
wiphone,esp32,sx1276,2,Tier 2 - variant + peripheral integration,phone,display,True,True,Phone form factor; large UI/codec scope.
heltec_hru_3601,esp32-c3,sx1262,2,Tier 2 - variant + peripheral integration,sensor,power,True,True,Sensor/relay board; confirm peripherals.
nugget_s2_lora,esp32-s2,sx1276,2,Tier 2 - variant + peripheral integration,diy,no-ble,False,True,S2 has no BLE; companion must be USB/WiFi only.
crowpanel-esp32s3-5-epaper,esp32-s3,sx1262,2,Tier 2 - variant + peripheral integration,node,display,True,True,E-paper UI.
dreamcatcher,esp32-s3,sx1262,2,Tier 2 - variant + peripheral integration,gateway,display,True,True,Gateway/dev board; confirm peripherals.
ELECROW-ThinkNode-G3,esp32-s3,sx1262,2,Tier 2 - variant + peripheral integration,gateway,display,True,True,Gateway variant; confirm peripherals.
elecrow_panel,esp32-s3,sx1262,2,Tier 2 - variant + peripheral integration,node,display,True,True,TFT panel UI.
hackaday-communicator,esp32-s3,sx1262,2,Tier 2 - variant + peripheral integration,handheld,display,True,True,Display + input; UI layer.
heltec_capsule_sensor_v3,esp32-s3,sx1262,2,Tier 2 - variant + peripheral integration,sensor,power,True,True,Sensor node; sensor manager wiring.
heltec_sensor_hub,esp32-s3,sx1262,2,Tier 2 - variant + peripheral integration,sensor,power,True,True,Multi-sensor hub; sensor manager wiring.
m5stack_cardputer_adv,esp32-s3,sx1262,2,Tier 2 - variant + peripheral integration,handheld,display,True,True,Cardputer keyboard + TFT; UI layer.
m5stack_cores3,esp32-s3,sx1262,2,Tier 2 - variant + peripheral integration,node,display,True,True,CoreS3 TFT + touch; UI layer.
mesh-tab,esp32-s3,sx1262,2,Tier 2 - variant + peripheral integration,tablet,display,True,True,Tablet TFT + touch; large UI scope.
mini-epaper-s3,esp32-s3,sx1262,2,Tier 2 - variant + peripheral integration,node,display,True,True,E-paper UI.
nibble_esp32,esp32-s3,sx1262,2,Tier 2 - variant + peripheral integration,handheld,display,True,True,Keyboard + display; UI layer.
picomputer-s3,esp32-s3,sx1262,2,Tier 2 - variant + peripheral integration,handheld,display,True,True,Keyboard + display; UI layer.
t-deck-pro,esp32-s3,sx1262,2,Tier 2 - variant + peripheral integration,handheld,display,True,True,E-paper + keyboard + 4G; UI layer (T-Deck base ported).
t-deck-pro-v1_1,esp32-s3,sx1262,2,Tier 2 - variant + peripheral integration,handheld,display,True,True,Sub-variant of t-deck-pro.
t-watch-s3,esp32-s3,sx1262,2,Tier 2 - variant + peripheral integration,wearable,display,True,True,Touch smartwatch; UI + PMU (AXP2101).
t5s3_epaper,esp32-s3,sx1262,2,Tier 2 - variant + peripheral integration,node,display,True,True,E-paper UI.
tlora-pager,esp32-s3,sx1262,2,Tier 2 - variant + peripheral integration,handheld,display,True,True,Keyboard + TFT pager; UI layer.
tlora_t3s3_epaper,esp32-s3,sx1262,2,Tier 2 - variant + peripheral integration,node,display,True,True,E-paper UI; T3S3 base already ported.
tracksenger,esp32-s3,sx1262,2,Tier 2 - variant + peripheral integration,handheld,display,True,True,Display + keyboard; UI layer.
unphone,esp32-s3,sx1262,2,Tier 2 - variant + peripheral integration,phone,display,True,True,Touch phone; large UI scope.
Dongle_nRF52840-pca10059-v1,nrf52840,none,2,Tier 2 - variant + peripheral integration,dongle,no-radio,True,False,USB dongle with NO onboard LoRa; needs external radio wiring.
ELECROW-ThinkNode-M7,nrf52840,sx1262,2,Tier 2 - variant + peripheral integration,node,display,True,True,ThinkNode sub-variant; confirm display hardware.
MakePython_nRF52840_eink,nrf52840,sx1262,2,Tier 2 - variant + peripheral integration,node,display,True,True,Needs an e-ink UI driver (see Tier-2 display work).
rak2560,nrf52840,sx1262,2,Tier 2 - variant + peripheral integration,node,power,True,True,RAK WisBlock solar sensor node; PMIC/solar handling.
rak4631_eth_gw,nrf52840,sx1262,2,Tier 2 - variant + peripheral integration,gateway,ethernet,True,True,Needs W5500 Ethernet interface (new transport).
rak_wismesh_tap_v2,nrf52840,sx1262,2,Tier 2 - variant + peripheral integration,handheld,display,True,True,TFT + touch; needs UI layer.
rak_wismeshtap,nrf52840,sx1262,2,Tier 2 - variant + peripheral integration,handheld,display,True,True,TFT + touch; needs UI layer.
t-echo-plus,nrf52840,sx1262,2,Tier 2 - variant + peripheral integration,node,display,True,True,Sub-variant of t-echo; e-ink + GPS pin map.
nibble_rp2040,rp2040,sx1276,2,Tier 2 - variant + peripheral integration,handheld,display,True,True,Keyboard + display; UI layer.
rpipico2,rp2350,sx1276,2,Tier 2 - variant + peripheral integration,diy,new-mcu-minor,False,True,"RP2350 (Pico 2); arduino-pico supports it, validate toolchain."
rpipico2w,rp2350,sx1276,2,Tier 2 - variant + peripheral integration,diy,new-mcu-minor,False,True,RP2350W; validate toolchain + WiFi.
milesight_gs301,stm32wl,stm32wlx,2,Tier 2 - variant + peripheral integration,sensor,power,True,True,STM32WL sensor; confirm peripherals/PMIC.
betafpv_2400_tx_micro,esp32,sx1280,3,Tier 3 - new platform / radio bring-up,tx-module,new-radio,True,False,2.4 GHz SX1280: MeshCore has NO SX1280 RadioLib wrapper. New driver.
portduino,linux,any-spi,3,Tier 3 - new platform / radio bring-up,host,new-platform,False,False,"Linux/Raspberry Pi native LoRa gateway: new HAL (SPI/GPIO, BLE/serial)."
portduino-buildroot,linux,any-spi,3,Tier 3 - new platform / radio bring-up,host,new-platform,False,False,Buildroot Linux target; depends on portduino HAL.
nrf54l15dk,nrf54l15,sx1262,3,Tier 3 - new platform / radio bring-up,devkit,new-mcu,False,True,"nRF54L15: new MCU family, no MeshCore/Arduino-nRF52 support yet."
